0.00 CONN 7 8 up
10.00 CONN 7 8 down
3234.00 CONN 12 8 up
3244.00 CONN 12 8 down
3527.00 CONN 16 5 up
3537.00 CONN 16 5 down
6999.00 CONN 14 8 up
7009.00 CONN 14 8 down
7137.00 CONN 14 16 up
7147.00 CONN 14 16 down
8405.00 CONN 16 12 up
8415.00 CONN 16 12 down
8712.00 CONN 16 12 up
8722.00 CONN 16 12 down
9765.00 CONN 5 12 up
9765.00 CONN 5 16 up
9775.00 CONN 5 12 down
9775.00 CONN 5 16 down
10876.00 CONN 9 5 up
10876.00 CONN 9 12 up
10876.00 CONN 9 16 up
10884.00 CONN 16 5 up
10884.00 CONN 16 9 up
10884.00 CONN 16 12 up
10886.00 CONN 9 5 down
10886.00 CONN 9 12 down
10886.00 CONN 9 16 down
10894.00 CONN 16 5 down
10894.00 CONN 16 9 down
10894.00 CONN 16 12 down
11303.00 CONN 16 5 up
11303.00 CONN 16 9 up
11303.00 CONN 16 12 up
11313.00 CONN 16 5 down
11313.00 CONN 16 9 down
11313.00 CONN 16 12 down
11420.00 CONN 16 5 up
11420.00 CONN 16 9 up
11420.00 CONN 16 12 up
11430.00 CONN 16 5 down
11430.00 CONN 16 9 down
11430.00 CONN 16 12 down
14790.00 CONN 12 9 up
14790.00 CONN 12 16 up
14800.00 CONN 12 9 down
14800.00 CONN 12 16 down
14866.00 CONN 12 1 up
14876.00 CONN 12 1 down
14888.00 CONN 1 12 up
14898.00 CONN 1 12 down
15547.00 CONN 13 9 up
15547.00 CONN 13 16 up
15557.00 CONN 13 9 down
15557.00 CONN 13 16 down
15744.00 CONN 12 9 up
15744.00 CONN 12 16 up
15754.00 CONN 12 9 down
15754.00 CONN 12 16 down
15880.00 CONN 1 9 up
15880.00 CONN 1 12 up
15880.00 CONN 1 16 up
15890.00 CONN 1 9 down
15890.00 CONN 1 12 down
15890.00 CONN 1 16 down
16014.00 CONN 12 4 up
16024.00 CONN 12 4 down
16046.00 CONN 0 13 up
16056.00 CONN 0 13 down
16782.00 CONN 0 1 up
16782.00 CONN 0 9 up
16782.00 CONN 0 16 up
16792.00 CONN 0 1 down
16792.00 CONN 0 9 down
16792.00 CONN 0 16 down
17312.00 CONN 0 1 up
17312.00 CONN 0 16 up
17322.00 CONN 0 1 down
17322.00 CONN 0 16 down
17381.00 CONN 13 0 up
17381.00 CONN 13 1 up
17381.00 CONN 13 16 up
17391.00 CONN 13 0 down
17391.00 CONN 13 1 down
17391.00 CONN 13 16 down
17527.00 CONN 4 0 up
17527.00 CONN 4 1 up
17527.00 CONN 4 13 up
17527.00 CONN 4 16 up
17537.00 CONN 4 0 down
17537.00 CONN 4 1 down
17537.00 CONN 4 13 down
17537.00 CONN 4 16 down
17696.00 CONN 13 0 up
17696.00 CONN 13 4 up
17696.00 CONN 13 1 up
17696.00 CONN 13 16 up
17706.00 CONN 13 0 down
17706.00 CONN 13 4 down
17706.00 CONN 13 1 down
17706.00 CONN 13 16 down
18052.00 CONN 7 15 up
18062.00 CONN 7 15 down
18330.00 CONN 4 0 up
18330.00 CONN 4 1 up
18330.00 CONN 4 16 up
18340.00 CONN 4 0 down
18340.00 CONN 4 1 down
18340.00 CONN 4 16 down
18480.00 CONN 0 4 up
18480.00 CONN 0 1 up
18480.00 CONN 0 16 up
18490.00 CONN 0 4 down
18490.00 CONN 0 1 down
18490.00 CONN 0 16 down
20226.00 CONN 3 0 up
20226.00 CONN 3 16 up
20236.00 CONN 3 0 down
20236.00 CONN 3 16 down
20508.00 CONN 3 0 up
20508.00 CONN 3 16 up
20518.00 CONN 3 0 down
20518.00 CONN 3 16 down
20645.00 CONN 3 0 up
20645.00 CONN 3 16 up
20655.00 CONN 3 0 down
20655.00 CONN 3 16 down
20718.00 CONN 3 0 up
20718.00 CONN 3 16 up
20728.00 CONN 3 0 down
20728.00 CONN 3 16 down
21380.00 CONN 3 0 up
21380.00 CONN 3 16 up
21390.00 CONN 3 0 down
21390.00 CONN 3 16 down
21613.00 CONN 3 0 up
21613.00 CONN 3 16 up
21623.00 CONN 3 0 down
21623.00 CONN 3 16 down
25680.00 CONN 0 16 up
25690.00 CONN 0 16 down
25743.00 CONN 15 16 up
25753.00 CONN 15 16 down
27501.00 CONN 3 15 up
27501.00 CONN 3 16 up
27511.00 CONN 3 15 down
27511.00 CONN 3 16 down
27993.00 CONN 3 15 up
27993.00 CONN 3 16 up
28003.00 CONN 3 15 down
28003.00 CONN 3 16 down
41647.00 CONN 8 16 up
41657.00 CONN 8 16 down
41952.00 CONN 8 16 up
41962.00 CONN 8 16 down
42565.00 CONN 8 16 up
42575.00 CONN 8 16 down
43835.00 CONN 8 16 up
43845.00 CONN 8 16 down
44482.00 CONN 8 16 up
44492.00 CONN 8 16 down
86178.00 CONN 18 7 up
86188.00 CONN 18 7 down
86249.00 CONN 18 4 up
86259.00 CONN 18 4 down
86344.00 CONN 1 16 up
86354.00 CONN 1 16 down
86396.00 CONN 7 4 up
86406.00 CONN 7 4 down
86638.00 CONN 4 16 up
86648.00 CONN 4 16 down
89177.00 CONN 5 18 up
89187.00 CONN 5 18 down
89328.00 CONN 9 18 up
89338.00 CONN 9 18 down
89424.00 CONN 9 18 up
89434.00 CONN 9 18 down
90258.00 CONN 7 17 up
90268.00 CONN 7 17 down
90478.00 CONN 9 18 up
90488.00 CONN 9 18 down
90569.00 CONN 9 18 up
90579.00 CONN 9 18 down
90862.00 CONN 15 16 up
90872.00 CONN 15 16 down
91670.00 CONN 7 16 up
91680.00 CONN 7 16 down
91882.00 CONN 7 16 up
91892.00 CONN 7 16 down
91996.00 CONN 9 18 up
92006.00 CONN 9 18 down
92262.00 CONN 7 16 up
92272.00 CONN 7 16 down
92998.00 CONN 9 18 up
93008.00 CONN 9 18 down
93331.00 CONN 10 9 up
93331.00 CONN 10 18 up
93341.00 CONN 10 9 down
93341.00 CONN 10 18 down
93588.00 CONN 1 7 up
93598.00 CONN 1 7 down
93678.00 CONN 9 18 up
93688.00 CONN 9 18 down
93739.00 CONN 4 1 up
93749.00 CONN 4 1 down
93784.00 CONN 17 4 up
93784.00 CONN 17 1 up
93794.00 CONN 17 4 down
93794.00 CONN 17 1 down
94044.00 CONN 11 4 up
94044.00 CONN 11 1 up
94054.00 CONN 11 4 down
94054.00 CONN 11 1 down
94197.00 CONN 1 4 up
94197.00 CONN 1 11 up
94207.00 CONN 1 4 down
94207.00 CONN 1 11 down
94360.00 CONN 17 4 up
94360.00 CONN 17 1 up
94360.00 CONN 17 11 up
94370.00 CONN 17 4 down
94370.00 CONN 17 1 down
94370.00 CONN 17 11 down
94448.00 CONN 11 4 up
94448.00 CONN 11 1 up
94448.00 CONN 11 17 up
94458.00 CONN 11 4 down
94458.00 CONN 11 1 down
94458.00 CONN 11 17 down
94469.00 CONN 1 4 up
94469.00 CONN 1 11 up
94469.00 CONN 1 17 up
94479.00 CONN 1 4 down
94479.00 CONN 1 11 down
94479.00 CONN 1 17 down
94856.00 CONN 11 4 up
94856.00 CONN 11 1 up
94856.00 CONN 11 17 up
94866.00 CONN 11 4 down
94866.00 CONN 11 1 down
94866.00 CONN 11 17 down
94983.00 CONN 1 4 up
94983.00 CONN 1 11 up
94993.00 CONN 1 4 down
94993.00 CONN 1 11 down
96457.00 CONN 11 4 up
96467.00 CONN 11 4 down
96725.00 CONN 12 4 up
96725.00 CONN 12 11 up
96735.00 CONN 12 4 down
96735.00 CONN 12 11 down
97801.00 CONN 11 4 up
97811.00 CONN 11 4 down
97829.00 CONN 4 11 up
97839.00 CONN 4 11 down
101374.00 CONN 1 12 up
101384.00 CONN 1 12 down
101601.00 CONN 1 12 up
101611.00 CONN 1 12 down
101622.00 CONN 5 18 up
101632.00 CONN 5 18 down
102140.00 CONN 5 1 up
102140.00 CONN 5 12 up
102150.00 CONN 5 1 down
102150.00 CONN 5 12 down
102393.00 CONN 1 12 up
102403.00 CONN 1 12 down
102619.00 CONN 13 18 up
102629.00 CONN 13 18 down
102762.00 CONN 1 12 up
102763.00 CONN 13 18 up
102772.00 CONN 1 12 down
102773.00 CONN 13 18 down
102847.00 CONN 12 1 up
102857.00 CONN 12 1 down
102966.00 CONN 6 12 up
102976.00 CONN 6 12 down
103004.00 CONN 12 6 up
103014.00 CONN 12 6 down
103051.00 CONN 3 6 up
103051.00 CONN 3 12 up
103061.00 CONN 3 6 down
103061.00 CONN 3 12 down
103324.00 CONN 1 13 up
103324.00 CONN 1 18 up
103334.00 CONN 1 13 down
103334.00 CONN 1 18 down
104396.00 CONN 6 16 up
104406.00 CONN 6 16 down
104412.00 CONN 3 12 up
104422.00 CONN 3 12 down
105964.00 CONN 1 12 up
105974.00 CONN 1 12 down
107986.00 CONN 1 13 up
107986.00 CONN 1 18 up
107996.00 CONN 1 13 down
107996.00 CONN 1 18 down
110782.00 CONN 1 13 up
110782.00 CONN 1 18 up
110792.00 CONN 1 13 down
110792.00 CONN 1 18 down
111025.00 CONN 1 13 up
111025.00 CONN 1 18 up
111035.00 CONN 1 13 down
111035.00 CONN 1 18 down
112653.00 CONN 1 13 up
112653.00 CONN 1 18 up
112663.00 CONN 1 13 down
112663.00 CONN 1 18 down
113705.00 CONN 4 12 up
113715.00 CONN 4 12 down
114549.00 CONN 7 12 up
114559.00 CONN 7 12 down
114727.00 CONN 7 12 up
114737.00 CONN 7 12 down
119178.00 CONN 8 12 up
119188.00 CONN 8 12 down
120060.00 CONN 3 6 up
120070.00 CONN 3 6 down
122310.00 CONN 3 12 up
122320.00 CONN 3 12 down
128504.00 CONN 3 12 up
128514.00 CONN 3 12 down
176019.00 CONN 4 1 up
